DM values: ['9.999935', '10.000205', '9.999849', '10.000192']
Shift values: ['0.009124', '-0.004431', '-0.003421', '0.005836']

1it [00:00, ?it/s]
71it [00:00, 692.35it/s, bound:0 nc:  1 ncall:3.3e+02 eff:21.8% logz=-868434.35+/-0.16 dlogz:675245.979>0.1]
141it [00:00, 579.94it/s, bound:0 nc:  3 ncall:4.3e+02 eff:32.7% logz=-827486.90+/-0.16 dlogz:671254.101>0.1]
781it [00:06, 47.39it/s, bound:0 nc: 39 ncall:5.5e+03 eff:14.1% logz=-516913.18+/-0.19 dlogz:409274.284>0.1]
787it [00:06, 49.66it/s, bound:0 nc: 60 ncall:5.6e+03 eff:14.0% logz=-514583.26+/-0.19 dlogz:406565.586>0.1]
793it [00:06, 36.63it/s, bound:0 nc:  9 ncall:5.9e+03 eff:13.5% logz=-511107.54+/-0.19 dlogz:403434.170>0.1]
798it [00:06, 37.06it/s, bound:0 nc:  1 ncall:6.0e+03 eff:13.4% logz=-507369.23+/-0.19 dlogz:401261.758>0.1]
806it [00:06, 45.24it/s, bound:0 nc: 11 ncall:6.1e+03 eff:13.3% logz=-504689.32+/-0.19 dlogz:397574.471>0.1]
812it [00:07, 38.57it/s, bound:0 nc: 35 ncall:6.2e+03 eff:13.0% logz=-500202.25+/-0.19 dlogz:392113.136>0.1]
817it [00:07, 36.11it/s, bound:0 nc: 18 ncall:6.4e+03 eff:12.8% logz=-497340.92+/-0.19 dlogz:390529.876>0.1]
821it [00:07, 35.43it/s, bound:0 nc: 52 ncall:6.5e+03 eff:12.7% logz=-492489.06+/-0.19 dlogz:386737.964>0.1]
826it [00:07, 37.22it/s, bound:0 nc: 37 ncall:6.6e+03 eff:12.5% logz=-489306.23+/-0.19 dlogz:381433.979>0.1]
830it [00:07, 35.16it/s, bound:0 nc:  4 ncall:6.7e+03 eff:12.4% logz=-487523.10+/-0.19 dlogz:380106.603>0.1]
835it [00:07, 37.45it/s, bound:0 nc: 38 ncall:6.8e+03 eff:12.3% logz=-481466.16+/-0.20 dlogz:374140.383>0.1]
839it [00:07, 28.48it/s, bound:0 nc: 26 ncall:7.0e+03 eff:12.0% logz=-478011.22+/-0.20 dlogz:370572.308>0.1]
843it [00:08, 29.26it/s, bound:0 nc: 50 ncall:7.1e+03 eff:11.9% logz=-474762.55+/-0.20 dlogz:367221.441>0.1]
849it [00:08, 32.06it/s, bound:0 nc: 65 ncall:7.2e+03 eff:11.7% logz=-472571.02+/-0.20 dlogz:364973.716>0.1]
853it [00:08, 31.63it/s, bound:0 nc: 21 ncall:7.4e+03 eff:11.6% logz=-469679.19+/-0.20 dlogz:361589.196>0.1]
857it [00:08, 31.57it/s, bound:0 nc: 16 ncall:7.5e+03 eff:11.5% logz=-467350.73+/-0.20 dlogz:359392.085>0.1]
861it [00:08, 31.96it/s, bound:0 nc: 10 ncall:7.6e+03 eff:11.4% logz=-465516.26+/-0.20 dlogz:357625.295>0.1]
865it [00:08, 32.67it/s, bound:0 nc:  9 ncall:7.7e+03 eff:11.3% logz=-462567.45+/-0.20 dlogz:354529.769>0.1]
869it [00:08, 29.32it/s, bound:0 nc: 41 ncall:7.8e+03 eff:11.1% logz=-459940.55+/-0.20 dlogz:352384.715>0.1]
873it [00:09, 30.81it/s, bound:0 nc:  2 ncall:7.9e+03 eff:11.0% logz=-455302.21+/-0.20 dlogz:347352.649>0.1]
878it [00:09, 29.08it/s, bound:0 nc: 94 ncall:8.1e+03 eff:10.9% logz=-451277.19+/-0.20 dlogz:344100.033>0.1]
882it [00:09, 28.94it/s, bound:0 nc: 11 ncall:8.2e+03 eff:10.7% logz=-446508.78+/-0.20 dlogz:338411.678>0.1]
885it [00:09, 22.18it/s, bound:0 nc: 46 ncall:8.4e+03 eff:10.5% logz=-444923.32+/-0.20 dlogz:337234.146>0.1]
888it [00:09, 17.91it/s, bound:0 nc:  2 ncall:8.6e+03 eff:10.3% logz=-444374.66+/-0.20 dlogz:336183.814>0.1]
